Cenário,Métrica,XGBoosting,Random Forest,Support Vector Regression,Linear Regression
"14, 79, 0",MAPE,0.10724094089322857,0.10595253371702765,0.16748114183488094,0.19732617789122292
"14, 79, 0",RMSE,176.14944283181998,174.54733222853142,238.98864382404625,303.44559371486
"14, 79, 0",RRSE,0.7397110375567604,0.7329832337239036,1.0035940781041939,1.2742705929711784
"14, 79, 1",MAPE,0.10564929229255111,0.10538693245447121,0.16766189989856464,0.13262976316376762
"14, 79, 1",RMSE,169.13909643867248,169.22954883017576,238.91254477605898,210.52697717063552
"14, 79, 1",RRSE,0.7102277547591546,0.7106075711368135,1.0032116987311712,0.8840185708710269
"14, 79, 2",MAPE,0.10432907165318081,0.10537862466233046,0.16761728763682066,0.11800883475697707
"14, 79, 2",RMSE,166.61188782715482,165.85692411366338,238.8037529320174,187.21106648917637
"14, 79, 2",RRSE,0.69985459683532,0.6966833655851292,1.0030971163616997,0.7863816151991193
"14, 79, 3",MAPE,0.1038692929179456,0.10428012321621619,0.16755485512091434,0.1132877376256432
"14, 79, 3",RMSE,165.49502513566233,163.68954229668796,238.6451785907406,179.18791888475292
"14, 79, 3",RRSE,0.6955085009154975,0.687920788464719,1.0029289416784428,0.7530541824054297
"28, 65, 0",MAPE,0.10466454254257154,0.10420235237022256,0.1646639408772926,0.15698827809632587
"28, 65, 0",RMSE,170.68229585553462,164.62706919094802,240.68850541536014,242.06806497071165
"28, 65, 0",RRSE,0.7159259174501152,0.6905273037070602,1.009566564566462,1.0153531192609093
"28, 65, 1",MAPE,0.10557236260139514,0.10345966474126556,0.1646746114705535,0.1240657848819492
"28, 65, 1",RMSE,172.18599060765388,163.9341071193772,240.58280597718186,193.23237430089435
"28, 65, 1",RRSE,0.7223398796889371,0.6877222867878341,1.0092723253006606,0.8106318610006077
"28, 65, 2",MAPE,0.1041689486521751,0.1030891185353462,0.1646054926503829,0.11506049194947914
"28, 65, 2",RMSE,169.27435686642778,162.4792622527643,240.50223382438472,178.52606847065093
"28, 65, 2",RRSE,0.7103211782596636,0.6818071156354462,1.0092126962799257,0.7491438730214927
"28, 65, 3",MAPE,0.10334142026801688,0.10311219036763272,0.16455826449861077,0.11210977017251504
"28, 65, 3",RMSE,166.4321938318758,161.64063284099677,240.41190773821276,173.44727751352423
"28, 65, 3",RRSE,0.6985745482730971,0.6784626788224808,1.0090934691238194,0.7280193257598131
"42, 51, 0",MAPE,0.10528673506593757,0.11254290828065207,0.16494280918116713,0.1604082441656288
"42, 51, 0",RMSE,170.97194284049252,163.64485535668925,233.87483046821788,222.81905781172955
"42, 51, 0",RRSE,0.7320199855101793,0.7006489056439978,1.0013400278796725,0.9540045036682118
"42, 51, 1",MAPE,0.10455729547965417,0.11210194108866636,0.16503505226592913,0.1300587107359385
"42, 51, 1",RMSE,162.06227838924312,164.0566268342327,233.82288664932366,187.8569297223624
"42, 51, 1",RRSE,0.6939204619976774,0.7024598902229656,1.0011860078853418,0.8043683499827895
"42, 51, 2",MAPE,0.10273274678595515,0.10735067049499764,0.1649340350600379,0.11923652001065996
"42, 51, 2",RMSE,159.98541184313498,159.6271231463338,233.7384188678273,174.64593165280706
"42, 51, 2",RRSE,0.6852741327381602,0.6837394554626407,1.0011843606984003,0.7480703269806329
"42, 51, 3",MAPE,0.10321789026648032,0.10656634412516648,0.1649312629913007,0.11586081008252731
"42, 51, 3",RMSE,158.90455851890866,159.31275143666207,233.73012485265724,170.854972075226
"42, 51, 3",RRSE,0.6806527270775498,0.6824011830389916,1.0011610010684937,0.7318411992814123
"56, 37, 0",MAPE,0.10172020309182728,0.10149613394489491,0.1655124934989296,0.15492766052034426
"56, 37, 0",RMSE,164.03027817833362,163.38714784292551,234.32160239272656,220.1572006153702
"56, 37, 0",RRSE,0.7009571597030826,0.6982088450734129,1.001335891729142,0.9408065861093904
"56, 37, 1",MAPE,0.10339189398242093,0.1028173557197689,0.16553281669520806,0.1291495621942362
"56, 37, 1",RMSE,166.0277788064147,162.06528646889882,234.2568897581078,190.61291847005907
"56, 37, 1",RRSE,0.7096184255056536,0.6926823585785354,1.0012360971703682,0.8146976370952616
"56, 37, 2",MAPE,0.10227657221956427,0.10245060087172883,0.16537631605942482,0.11897309671501625
"56, 37, 2",RMSE,162.9717621872098,160.80607063683607,234.14631659585154,177.06966773742585
"56, 37, 2",RRSE,0.6968998036590449,0.6876388740600408,1.0012564132164965,0.757185263410429
"56, 37, 3",MAPE,0.10258536211630766,0.1028478617522026,0.16510303150624805,0.11609393190010996
"56, 37, 3",RMSE,163.03055779654935,161.17042372669454,233.9481750736004,173.5405500666471
"56, 37, 3",RRSE,0.6977660318342422,0.6898047122746179,1.0012913651420017,0.7427484921780667
"70, 23, 0",MAPE,0.1269194284663343,0.1126592417402101,0.16683868407506922,0.1545277433054265
"70, 23, 0",RMSE,181.50900774211232,166.475187962081,236.76377902113967,220.47105804257123
"70, 23, 0",RRSE,0.7679958514450637,0.7043851724707103,1.0017882986779356,0.9328509920618876
"70, 23, 1",MAPE,0.11115308914987973,0.10952774601093983,0.16670647062177887,0.12964996834078807
"70, 23, 1",RMSE,165.79129043505654,163.912485469243,236.5981525606305,191.58558099133577
"70, 23, 1",RRSE,0.7019342965776106,0.6939797313008451,1.001719435040307,0.8111432734172755
"70, 23, 2",MAPE,0.10413524649950007,0.1068578063146885,0.16643548825615848,0.12124748891190759
"70, 23, 2",RMSE,162.17923443166453,161.56580291105396,236.4280333928888,179.8314176594438
"70, 23, 2",RRSE,0.6871817884119485,0.6845825717435585,1.001786938919747,0.7619771768742852
"70, 23, 3",MAPE,0.10852499221898344,0.10500987850587658,0.16608478516899214,0.11795002920709383
"70, 23, 3",RMSE,164.05511777778258,160.55396083674455,236.21914070238594,175.34479258978607
"70, 23, 3",RRSE,0.6958112771166904,0.6809617282850011,1.0018824416935899,0.7436944712259577
